playerID,yearID,teamID,AB,H,BB,HBP,SF
dickeal01,2021,SFN,283,66,23,6,0
dickeco01,2021,MIA,205,54,16,3,1
dickeco01,2021,TOR,131,37,9,0,0
dicksbr01,2021,SLN,0,0,0,0,0
diekmja01,2021,OAK,1,0,0,0,0
difowi01,2021,PIT,219,59,20,0,1
diplama01,2021,BAL,0,0,0,0,0
dobnara01,2021,MIN,0,0,0,0,0
dohyky01,2021,PHI,0,0,0,0,0
dolisra01,2021,TOR,0,0,0,0,0
dominse01,2021,PHI,0,0,0,0,0
donaljo02,2021,MIN,457,113,74,4,8
doolise01,2021,CIN,0,0,0,0,0
doolise01,2021,SEA,0,0,0,0,0
dorowry01,2021,TEX,6,0,1,0,0
dovalca01,2021,SFN,0,0,0,0,0
doziehu01,2021,KCA,487,105,43,7,6
drurybr01,2021,NYN,84,23,3,1,0
dubonma01,2021,SFN,175,42,9,1,2
duffety01,2021,MIN,0,0,0,0,0
duffyda01,2021,KCA,0,0,0,0,0
duffyma01,2021,CHN,289,83,25,7,1
duggast01,2021,SFN,268,69,27,2,0
duggero01,2021,SEA,0,0,0,0,0
dunnida01,2021,TEX,3,1,0,0,0
dunnju01,2021,SEA,3,1,0,0,0
duplajo01,2021,ARI,2,0,0,1,0
duranja01,2021,BOS,107,23,4,0,1
duvalad01,2021,MIA,314,72,21,1,3
duvalad01,2021,ATL,199,45,14,3,0
dysonja01,2021,KCA,122,27,6,0,1
dysonja01,2021,TOR,13,1,4,0,0
eatonad02,2021,CHA,189,38,20,6,0
eatonad02,2021,LAA,65,13,2,1,1
edmanto01,2021,SLN,641,168,38,6,4
edwarca01,2021,ATL,0,0,0,0,0
edwarca01,2021,TOR,0,0,0,0,0
effrosc01,2021,CHN,0,0,0,0,1
eflinza01,2021,PHI,29,0,1,1,0
eickhje01,2021,NYN,5,2,0,0,0
elledse01,2021,SLN,2,0,0,0,0
ellisch01,2021,TBA,0,0,0,0,0
ellisch01,2021,BAL,0,0,0,0,0
ellisdr01,2021,ARI,69,9,10,4,0
emanuke01,2021,HOU,0,0,0,0,0
engelad01,2021,CHA,123,31,11,5,1
ennsdi01,2021,TBA,0,0,0,0,0
eovalna01,2021,BOS,2,0,1,0,0
escobal02,2021,WAS,319,92,17,9,2
escobed01,2021,ARI,370,91,29,0,1
escobed01,2021,MIL,179,48,19,1,0
eshelto01,2021,BAL,1,0,0,0,0
espinpa01,2021,WAS,30,5,0,0,0
espinra01,2021,BOS,0,0,0,0,0
espinsa01,2021,TOR,222,69,22,1,0
estevca01,2021,COL,0,0,0,0,0
estrath01,2021,SFN,121,33,9,2,0
evansde01,2021,TEX,0,0,0,0,0
evansph01,2021,PIT,214,44,28,5,0
fairbpe01,2021,TBA,0,0,0,0,0
faircst01,2021,ARI,15,2,1,1,0
falteba01,2021,PHI,5,0,0,0,0
familje01,2021,NYN,0,0,0,0,0
fargajo01,2021,NYN,21,6,0,0,0
fargajo01,2021,CHN,31,7,1,0,0
fariaja01,2021,ARI,3,1,0,0,0
farmebu01,2021,DET,0,0,0,0,0
farmeky01,2021,CIN,483,127,22,18,5
farrelu01,2021,MIN,0,0,0,0,0
feddeer01,2021,WAS,36,0,1,0,1
felicma01,2021,MIL,0,0,1,0,0
felizmi01,2021,PIT,0,0,0,0,0
felizmi01,2021,CIN,0,0,0,0,0
felizmi01,2021,BOS,0,0,0,0,0
felizmi01,2021,OAK,0,0,0,0,0
felizne01,2021,PHI,0,0,0,0,0
felizne01,2021,LAN,0,0,0,0,0
feltnry01,2021,COL,1,0,0,0,0
fernaju01,2021,SLN,1,0,0,0,0
fernaju02,2021,COL,0,0,0,0,0
feyerjo01,2021,MIL,0,0,0,0,0
feyerjo01,2021,TBA,0,0,0,0,0
fiersmi01,2021,OAK,0,0,0,0,0
finneky01,2021,WAS,0,0,0,0,0
fishede01,2021,MIL,8,2,0,0,0
flaaja01,2021,BAL,0,0,0,0,0
flaaja01,2021,ATL,0,0,0,0,0
flaheja01,2021,SLN,17,2,5,0,1
flemijo01,2021,TBA,1,0,0,0,0
fletcaa01,2021,SEA,0,0,0,0,0
fletcda02,2021,LAA,626,164,31,1,1
flexech01,2021,SEA,3,0,0,0,0
florebe01,2021,SLN,0,0,0,0,0
florewi01,2021,SFN,389,102,41,3,3
flories01,2021,NYA,20,6,5,0,0
florody01,2021,MIA,0,0,0,0,0
foleyja01,2021,DET,0,0,0,0,0
foltymi01,2021,TEX,2,0,0,0,0
fordmi01,2021,NYA,60,8,11,1,0
forteni01,2021,MIA,31,9,3,0,0
fostema01,2021,CHA,0,0,0,0,0
fowlede01,2021,LAA,20,5,1,0,0
fowledu01,2021,PIT,41,7,3,1,1
fraleja01,2021,SEA,214,45,46,2,2
francma02,2021,BAL,377,79,20,3,3
francty01,2021,SEA,571,166,46,27,6
francwa01,2021,TBA,281,81,24,2,1
frankse01,2021,ARI,3,0,1,0,0
fraziad01,2021,PIT,386,125,35,6,1
fraziad01,2021,SDN,191,51,13,4,0
frazicl01,2021,NYA,183,34,32,3,0
frazito01,2021,PIT,35,3,3,2,0
freelky01,2021,COL,33,6,2,0,1
freemfr01,2021,ATL,600,180,85,8,2
freemmi01,2021,CIN,59,11,5,1,0
friaslu01,2021,ARI,0,0,0,0,0
friedma01,2021,ATL,55,15,4,0,0
friedtj01,2021,CIN,31,9,4,0,1
fryja01,2021,CHA,0,0,0,0,0
frypa01,2021,BAL,0,0,0,0,0
fuentjo01,2021,COL,271,61,12,0,1
fulmeca01,2021,CIN,2,0,0,0,0
fulmemi01,2021,DET,0,0,0,0,0
funkhky01,2021,DET,0,0,0,0,0
gallaca01,2021,KCA,112,28,8,0,1
gallegi01,2021,SLN,0,0,0,0,0
galleza01,2021,ARI,32,6,1,0,0
gallojo01,2021,TEX,310,69,74,4,0
gallojo01,2021,NYA,188,30,37,2,1
galvifr01,2021,BAL,249,62,18,3,1
galvifr01,2021,PHI,107,24,9,2,2
gamelbe01,2021,CLE,14,1,3,0,0
gamelbe01,2021,PIT,326,83,48,3,4
gantjo01,2021,SLN,13,0,0,0,0
gantjo01,2021,MIN,0,0,0,0,0
garciad02,2021,TEX,581,141,32,5,4
garciar01,2021,OAK,88,18,1,3,0
garciav01,2021,MIL,461,121,38,11,5
garcibr01,2021,DET,0,0,0,0,0
garcide01,2021,NYA,0,0,0,0,0
garcied01,2021,CIN,0,0,0,0,0
garcied01,2021,MIN,0,0,0,0,0
garcija04,2021,SFN,2,0,0,0,0
garcijo02,2021,CIN,50,10,3,3,0
garcile02,2021,CHA,415,111,41,4,5
garcilu03,2021,SLN,0,0,0,0,0
garcilu04,2021,WAS,236,57,11,0,0
garcilu05,2021,HOU,6,0,0,0,0
garciro02,2021,HOU,106,16,8,1,1
garciro03,2021,DET,1,0,0,0,0
garciyi01,2021,MIA,0,0,0,0,0
garciyi01,2021,HOU,0,0,0,0,0
gardnbr01,2021,NYA,387,86,60,3,6
garliky01,2021,MIN,99,23,6,1,1
garnedu01,2021,DET,62,13,3,1,2
garream01,2021,CIN,0,0,0,0,0
garrebr01,2021,MIA,11,2,0,0,0
garvemi01,2021,MIN,207,53,31,3,2
garzaju01,2021,CLE,0,0,0,0,0
garzara01,2021,HOU,0,0,0,0,0
garzara01,2021,MIN,0,0,0,0,0
gausmke01,2021,SFN,54,10,2,0,1
germado01,2021,NYA,2,0,0,0,0
giambtr01,2021,CHN,13,2,0,0,0
gibauia01,2021,MIN,0,0,0,0,0
gibsoky01,2021,TEX,2,0,0,0,0
gibsoky01,2021,PHI,27,4,0,0,0
gilbelo01,2021,SEA,0,0,0,0,0
gilbety01,2021,ARI,9,0,0,0,0
gilbrlu01,2021,COL,0,0,0,0,0
gillu01,2021,NYA,0,0,0,0,0
gimenan01,2021,CLE,188,41,11,7,3
ginkeke01,2021,ARI,0,0,0,0,0
giolilu01,2021,CHA,4,1,0,0,0
